id,card_no,name,package_name,rarity,cost,attribute,pp_value,dp_value,signal_color,card_types,features,effect,image_url
BP01-014,BP01-014,露西亚·深红囚影,BP01-命运交锋,SR,8,雷,8,3,,角色牌 / 升变角色牌,阿尔法 / 升格者,"升变条件 费用8以下的<阿尔法>&「费用上限8及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：该牌可以同时装备2张<封刃太刀>装备。
【起】 【回合1】 【2蓝色信号球】：选择我方墓地1张<大太刀>装备，将其装备。直到回合结束为止，我方信号球区的【蓝色信号球】可以视为【红色信号球】或【黄色信号球】。
【自】【回合1】：该牌攻击时，可以消除【2黄色信号球】。若如此做，将该牌竖直，直到回合结束为止，该牌获得【充能+1】，PP+1000。",/card-images/BP01-014.png
BP01-015,BP01-015,露西亚·深红囚影,BP01-命运交锋,U,4,雷,4,1,,角色牌,阿尔法 / 升格者,【永】：我方每回合使用的第1张装备的费用-1。,/card-images/BP01-015.png
BP01-016,BP01-016,露西亚·深红囚影,BP01-命运交锋,R,5,雷,5,1,,角色牌,阿尔法 / 升格者,"【永】：该牌可以同时装备2张<封刃太刀>装备。
【起】【回合1】 【蓝色信号球】：选择我方墓地1张<封刃太刀>装备，将其装备。",/card-images/BP01-016.png
BP01-017,BP01-017,露西亚·深红囚影,BP01-命运交锋,SR,7,雷,9,2,,角色牌 / 升变角色牌,阿尔法 / 升格者,"升变条件 费用6以下的<阿尔法>&「费用上限6及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：该牌可以同时装备2张<封刃太刀>装备。
【自】：该牌离场时，若该牌同时装备<小太刀>和<大太刀>，可以将其放置到墓地。若如此做，改为不离场。",/card-images/BP01-017.png
BP01-018,BP01-018,露西亚·深红囚影,BP01-命运交锋,U,5,雷,6,1,,角色牌,阿尔法 / 升格者,【出】 丢弃1张手牌：抽1张牌，若因此方法丢弃装备或信号球，改为抽2张牌。,/card-images/BP01-018.png
BP01-019,BP01-019,露西亚·深红囚影,BP01-命运交锋,U,4,雷,6,1,,角色牌,阿尔法 / 升格者,,/card-images/BP01-019.png
BP01-020,BP01-020,绯霆—小太刀,BP01-命运交锋,U,3,雷,1.5,,,道具牌 / 装备牌,小太刀 / 封刃太刀,（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）,/card-images/BP01-020.png
BP01-021,BP01-021,绯霆—大太刀,BP01-命运交锋,U,4,雷,1.5,,,道具牌 / 装备牌,大太刀 / 封刃太刀,（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）,/card-images/BP01-021.png
BP01-022,BP01-022,夜煌—小太刀,BP01-命运交锋,U,3,物理,0.5,,,道具牌 / 装备牌,小太刀 / 封刃太刀,"（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）
【永】：若装备角色为《露西亚·深红囚影》，则其获得“【起】【回合1】：选择我方信号球区1张信号球，直到回合结束为止，其可以视为【蓝色信号球】”。",/card-images/BP01-022.png
BP01-023,BP01-023,夜煌—大太刀,BP01-命运交锋,U,4,物理,1,,,道具牌 / 装备牌,大太刀 / 封刃太刀,"（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）
【永】：若装备角色为《露西亚·深红囚影》，则其获得“【自】【回合1】：该牌攻击时，可以横置我方战场1张牌。若如此做，该牌的本次攻击不会被PP为5000及以下的角色阻挡”。",/card-images/BP01-023.png
BP01-024,BP01-024,坼霆,BP01-命运交锋,U,3,雷,,,,道具牌 / 辅助机牌,,【起】 横置该牌&【任意信号球】：公开我方牌组顶5张牌，选择其中最多1张装备加入手牌，将剩余的牌按任意顺序放置到牌组底。,/card-images/BP01-024.png
BP01-025,BP01-025,归途伴风雪,BP01-命运交锋,U,5,雷,,,,战术牌 / 普通战术牌,,"该牌只能在我方战场存在《露西亚·深红囚影》时才能使用。
选择对方战场1张角色，直到回合结束为止，其失去能力，不能进行阻挡。可以追加消除【2红色信号球】。若如此做，选择我方战场1张《露西亚·深红囚影》，将其竖直。",/card-images/BP01-025.png
BP01-026,BP01-026,凛冬,BP01-命运交锋,U,3,物理,,,,战术牌 / 普通战术牌,,公开我方牌组顶7张牌，选择其中最多1张《露西亚·深红囚影》和最多1张<封刃太刀>装备加入手牌，将剩余的牌按任意顺序放置到牌组底。,/card-images/BP01-026.png
BP01-027,BP01-027,枪林弹雨,BP01-命运交锋,R,3,雷,,,,战术牌 / 瞬时战术牌,,【瞬时】：我方玩家被攻击时才能发动。选择我方战场1张装备，可以将其放置到墓地。若如此做，那次攻击不能造成伤害。,/card-images/BP01-027.png
BP01-028,BP01-028,曲·雀翎,BP01-命运交锋,SR,9,物理,3,2,,角色牌 / 升变角色牌,曲 / 九龙商会,"升变条件 费用8以下的《曲·雀翎》&「费用上限8及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【出】：可以选择我方墓地、费用区合计最多6张<万世铭>，将其加入牌组并洗切。因此方法加入牌组的<万世铭>每有2张，从以下3项选择1项。（不可重复选择）
·直到回合结束为止，该牌获得【充能+1】，基本PP变为9999。
·直到回合结束为止，该牌DP+1。
·直到回合结束为止，该牌获得“【自】【回合1】：该牌攻击的充能步骤中，若充能<万世铭>，将该牌竖直。”",/card-images/BP01-028.png
BP01-029,BP01-029,曲·雀翎,BP01-命运交锋,SR,6,物理,5,1,,角色牌,曲 / 九龙商会,"【出】丢弃1张手牌：选择我方牌组1张<万世铭>，将其加入手牌，洗切牌组。
【自】【回合1】 ：该牌攻击或阻挡时，可以消除【3任意信号球】。若如此做，选择我方墓地最多2张<万世铭>，将其中1张加入手牌，将剩余的牌以竖直状态放置到我方费用区最上方。",/card-images/BP01-029.png
BP01-030,BP01-030,曲·雀翎,BP01-命运交锋,SR,7,物理,9,2,,角色牌 / 升变角色牌,曲 / 九龙商会,"升变条件 费用6以下的《曲·雀翎》&「费用上限6及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【出】 消除3同色信号球：选择我方费用区1张<万世铭>，可以将其放置到墓地。若如此做，选择我方手牌1张费用为5及以下的《曲·雀翎》，将其出场。",/card-images/BP01-030.png
BP01-031,BP01-031,曲·雀翎,BP01-命运交锋,R,4,物理,3,1,,角色牌,曲 / 九龙商会,【出】：公开我方牌组顶2张牌，选择其中最多1张牌放置到牌组顶或墓地，将剩余的牌按任意顺序放置到牌组底。,/card-images/BP01-031.png
BP01-032,BP01-032,曲·雀翎,BP01-命运交锋,U,4,物理,4,1,,角色牌,曲 / 九龙商会,,/card-images/BP01-032.png
BP01-033,BP01-033,曲·雀翎,BP01-命运交锋,U,3,物理,3,1,,角色牌,曲 / 九龙商会,【永】：【充能0】。,/card-images/BP01-033.png
BP01-034,BP01-034,曲·雀翎,BP01-命运交锋,U,5,物理,5,1,,角色牌,曲 / 九龙商会,【出】丢弃1张手牌：公开我方牌组顶3张牌，选择其中1张《曲·雀翎》加入手牌，将剩余的牌按任意顺序放置到牌组底。,/card-images/BP01-034.png
BP01-035,BP01-035,曲·雀翎,BP01-命运交锋,U,5,物理,6,2,,角色牌,曲 / 九龙商会,"【起】【回合1】丢弃手牌1张<万世铭>：从以下2项选择1项。
·直到回合结束为止，该牌获得【充能+1】。
·直到回合结束为止，该牌PP+2000。",/card-images/BP01-035.png
BP01-036,BP01-036,青赫,BP01-命运交锋,U,1,物理,0.5,,,道具牌 / 装备牌,龙枪,"（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）
【永】：若装备角色为《曲·雀翎》，则其获得“【自】【回合1】：该牌攻击时，可以丢弃1张手牌。若如此做，公开我方牌组顶3张牌，选择其中最多1张牌放置到牌组顶或墓地，将剩余的牌按任意顺序放置到牌组底”。",/card-images/BP01-036.png
BP01-037,BP01-037,万世铭,BP01-命运交锋,R,1,物理,,,,战术牌 / 普通战术牌,万世铭,"该牌只能在我方战场存在<曲>角色时才能使用。
选择我方信号球区1张信号球，直到回合结束为止，其可以视为3个与其相同的信号球。
【自】：该牌因<曲>角色放置到处理区时，可以改为将该牌以横置状态放置到费用区。
（该牌【自】效果的“放置到处理区”包含充能、公开某个区域的该牌等情况）",/card-images/BP01-037.png
BP01-038,BP01-038,万世铭·重铸,BP01-命运交锋,R,1,物理,,,,战术牌 / 普通战术牌,万世铭,"该牌只能在我方战场存在<曲>角色时才能使用。
选择我方墓地1张信号球，将其放置到我方信号球区任意位置。
【自】：该牌因<曲>角色放置到处理区时，可以改为将该牌以横置状态放置到费用区。
（该牌【自】效果的“放置到处理区”包含充能、公开某个区域的该牌等情况）",/card-images/BP01-038.png
BP01-039,BP01-039,自由,BP01-命运交锋,U,5,物理,,,,战术牌 / 普通战术牌,,选择对方战场1张角色，将其以横置状态放置到对方费用区。选择我方费用区1张<万世铭>，将其竖直。,/card-images/BP01-039.png
BP01-040,BP01-040,七实·遥星之座,BP01-命运交锋,SR,8,火,8,2,,角色牌 / 升变角色牌,七实 / 机械教会,"升变条件 费用8以下的<七实>&「费用上限8及以上」
升变代价「【费用3】&将我方战场1张《帕瓦》放置到该牌下方」将手牌的该牌重叠在对象上方出场，获得【速攻】。
【起】【回合1】丢弃1张手牌：选择我方墓地1张《帕瓦》，将其放置到该牌下方。
【永】：根据该牌下方的牌的数量，该牌获得以下效果。
·2张及以上 【永】：我方回合中，我方战场所有<机械教会>角色PP+1000。
·4张及以上 【永】：该牌的攻击不会被PP为5000及以下的角色阻挡。
·7张及以上 【起】【游戏1】消除【2黄色信号球】：给予对方1点伤害。",/card-images/BP01-040.png
BP01-041,BP01-041,七实·遥星之座,BP01-命运交锋,SR,7,火,4.5,2,,角色牌 / 升变角色牌,七实 / 机械教会,"升变条件 费用6以下的<七实>&「费用上限6及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：若该牌下方存在《帕瓦》，则该牌PP+2000。
【出】 丢弃1张手牌：选择我方墓地1张费用为3及以下的《帕瓦》,将其出场。",/card-images/BP01-041.png
BP01-042,BP01-042,七实·遥星之座,BP01-命运交锋,R,5,火,4.5,2,,角色牌,七实 / 机械教会,【永】：若该牌下方存在《帕瓦》，则该牌获得【速攻】。,/card-images/BP01-042.png
BP01-043,BP01-043,七实·遥星之座,BP01-命运交锋,R,6,火,2,2,,角色牌,七实 / 机械教会,【出】：可以将我方战场1张《帕瓦》放置到墓地。若如此做，选择对方战场1张PP为6000及以下的角色，将其破坏。,/card-images/BP01-043.png
BP01-044,BP01-044,七实·遥星之座,BP01-命运交锋,U,4,火,4,1,,角色牌,七实 / 机械教会,【出】 丢弃手牌1张《帕瓦》：抽2张牌。,/card-images/BP01-044.png
BP01-045,BP01-045,七实·遥星之座,BP01-命运交锋,U,4,火,6,1,,角色牌,七实 / 机械教会,【永】：【充能0】。,/card-images/BP01-045.png
BP01-046,BP01-046,七实·遥星之座,BP01-命运交锋,U,2,火,1,1,,角色牌,七实 / 机械教会,【出】：公开我方牌组顶5张牌，选择其中1张《帕瓦》或<机械教会>角色加入手牌，将剩余的牌按任意顺序放置到牌组底。,/card-images/BP01-046.png
BP01-047,BP01-047,七实·遥星之座,BP01-命运交锋,U,7,火,11,3,,角色牌,七实 / 机械教会,,/card-images/BP01-047.png
BP01-048,BP01-048,七实·遥星之座,BP01-命运交锋,U,2,火,4,1,,角色牌,七实 / 机械教会,,/card-images/BP01-048.png
BP01-049,BP01-049,帕瓦,BP01-命运交锋,R,3,火,4,1,,角色牌,武装机械,"【永】：该牌不能攻击。
【起】【任意信号球】：选择我方战场1张《七实·遥星之座》，将竖直状态的该牌放置到其下方。
【永】：若该牌存在于《七实·遥星之座》下方，其PP+1000。",/card-images/BP01-049.png
BP01-050,BP01-050,帕瓦,BP01-命运交锋,U,4,火,8,1,,角色牌,武装机械,"【永】：该牌不能攻击。
【起】【任意信号球】：选择我方战场1张《七实·遥星之座》，将竖直状态的该牌放置到其下方。
【永】：若该牌存在于《七实·遥星之座》下方，其获得【充能+1】。",/card-images/BP01-050.png
BP01-051,BP01-051,帕瓦,BP01-命运交锋,U,4,火,4,1,,角色牌,武装机械,"【永】：该牌不能攻击。
【起】 【2任意信号球】：选择我方战场1张《七实·遥星之座》，将竖直状态的该牌放置到其下方。
【永】：若该牌存在于基本DP为1及以下的《七实·遥星之座》下方，其基本DP+1。",/card-images/BP01-051.png
BP01-052,BP01-052,帕瓦,BP01-命运交锋,U,3,火,2,2,,角色牌,武装机械,"【永】：【充能0】。
【起】【任意信号球】：选择我方战场1张《七实·遥星之座》，将竖直状态的该牌放置到其下方。",/card-images/BP01-052.png
BP01-053,BP01-053,七实·遥星之座,BP01-命运交锋,U,5,火,6,1,,角色牌,七实 / 机械教会,【出】：选择我方墓地1张信号球，将其放置到我方信号球区最上方。,/card-images/BP01-053.png
BP01-054,BP01-054,万兆创星,BP01-命运交锋,U,5,火,,,,战术牌 / 普通战术牌,,选择对方战场1张PP为6000及以下的角色，将其破坏。若我方战场存在《七实·遥星之座》升变角色，改为选择对方战场1张角色，将其破坏。,/card-images/BP01-054.png
BP01-055,BP01-055,七实-未来,BP01-命运交锋,U,4,火,,,,战术牌 / 普通战术牌,,公开我方牌组1张费用为6及以上的《七实·遥星之座》升变角色。选择我方战场1张费用为6以下的《七实·遥星之座》和1张《帕瓦》。我方可以无视【升变条件】，不支付【升变代价】在其上方升变出场因此方法公开的升变角色。,/card-images/BP01-055.png
BP01-056,BP01-056,梦赴光寥之乡,BP01-命运交锋,SR,1,物理,,,,战术牌 / 普通战术牌,艺术协会,"抽1张牌，丢弃1张手牌。
【自】 ：《梦赴光寥之乡》的该【自】效果每回合最多发动2次。我方消除信号球时，可以将墓地的该牌加入手牌。",/card-images/BP01-056.png
BP01-056a,BP01-056a,梦赴光寥之乡,BP01-命运交锋,SR★,2,物理,,,,战术牌 / 普通战术牌,艺术协会,"抽1张牌，丢弃1张手牌。
【自】：《梦赴光寥之乡》的该【自】效果每回合最多发动2次。我方消除信号球时，可以将墓地的该牌加入手牌。",/card-images/BP01-056a.png
BP01-056b,BP01-056b,梦赴光寥之乡,BP01-命运交锋,SR★,2,物理,,,,战术牌 / 普通战术牌,艺术协会,"抽1张牌，丢弃1张手牌。
【自】 ：《梦赴光寥之乡》的该【自】效果每回合最多发动2次。我方消除信号球时，可以将墓地的该牌加入手牌。",/card-images/BP01-056b.png
BP01-057,BP01-057,赛琳娜·希声,BP01-命运交锋,SR,9,物理,11,2,,角色牌 / 升变角色牌,赛琳娜 / 艺术协会,"升变条件 费用8以下的<赛琳娜>&「费用上限8及以上」
升变代价【4费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【自】【回合1】：该牌攻击结束时，可以丢弃手牌2张《梦赴光寥之乡》。若如此做，将该牌竖直。直到回合结束为止，该牌PP+2000，DP+1。",/card-images/BP01-057.png
BP01-058,BP01-058,赛琳娜·希声,BP01-命运交锋,SR,7,物理,9,2,,角色牌 / 升变角色牌,赛琳娜 / 艺术协会,"升变条件 费用6以下的<赛琳娜>&「费用上限6及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【出】丢弃2张手牌：选择我方墓地1张《梦赴光寥之乡》，将其加入手牌。
【出】丢弃手牌2张《梦赴光寥之乡》：选择对方战场1张费用为3及以下的角色，将其放置到对方牌组底。",/card-images/BP01-058.png
BP01-059,BP01-059,赛琳娜·希声,BP01-命运交锋,R,8,物理,9,2,,角色牌,赛琳娜 / 艺术协会,"【永】：我方墓地的《梦赴光寥之乡》每有1张，手牌的该牌的费用-1。
【起】【回合1】丢弃手牌最多2张《梦赴光寥之乡》：因此方法丢弃的《梦赴光寥之乡》每有1张，从以下2项选择1项。（不可重复选择）
·直到回合结束为止，该牌获得【贯通】。
·直到回合结束为止，该牌PP+2000。",/card-images/BP01-059.png
BP01-060,BP01-060,赛琳娜·希声,BP01-命运交锋,R,4,物理,4,1,,角色牌,赛琳娜 / 艺术协会,【出】：选择我方牌组最多1张《梦赴光寥之乡》，将其放置到墓地，洗切牌组。,/card-images/BP01-060.png
BP01-061,BP01-061,赛琳娜·希声,BP01-命运交锋,R,5,物理,6,2,,角色牌,赛琳娜 / 艺术协会,【永】：若我方墓地存在《梦赴光寥之乡》，该牌获得“【自】：该牌攻击时，可以查看我方牌组顶最多2张牌，选择其中最多1张牌放置到牌组顶，将剩余的牌按任意顺序放置到牌组底。”,/card-images/BP01-061.png
BP01-062,BP01-062,赛琳娜·希声,BP01-命运交锋,R,6,物理,5,2,,角色牌,赛琳娜 / 艺术协会,【起】【回合1】丢弃1张手牌：直到回合结束为止，该牌PP+1000。若因此方法丢弃《梦赴光寥之乡》，改为直到回合结束为止，该牌获得【突进】，PP-1000。,/card-images/BP01-062.png
BP01-063,BP01-063,赛琳娜·希声,BP01-命运交锋,U,3,物理,4,1,,角色牌,赛琳娜 / 艺术协会,,/card-images/BP01-063.png
BP01-064,BP01-064,赛琳娜·希声,BP01-命运交锋,U,5,物理,8,2,,角色牌,赛琳娜 / 艺术协会,,/card-images/BP01-064.png
BP01-065,BP01-065,一碰即碎的花火,BP01-命运交锋,R,3,物理,,,,战术牌 / 瞬时战术牌,,【瞬时】：我方玩家被攻击时才能发动。可以选择我方墓地2张《梦赴光寥之乡》，将其加入牌组后洗切牌组。若如此做，那次攻击不能造成伤害。,/card-images/BP01-065.png
BP01-066,BP01-066,独奏领域,BP01-命运交锋,U,3,物理,,,,战术牌 / 普通战术牌,,可以选择我方墓地合计4张《赛琳娜·希声》或《梦赴光寥之乡》，将其加入牌组后洗切牌组，若如此做，抽2张牌。,/card-images/BP01-066.png
BP01-067,BP01-067,最后的晚空,BP01-命运交锋,R,7,物理,,,,战术牌 / 普通战术牌,,"使用该牌时，可以丢弃手牌任意数量的《梦赴光寥之乡》。因此方法丢弃的《梦赴光寥之乡》每有1张，该牌的费用-1。
选择对方战场1张角色，将其放置到对方牌组底。",/card-images/BP01-067.png
BP01-068,BP01-068,奥菲厄斯的摇篮,BP01-命运交锋,U,4,物理,1,,,道具牌 / 装备牌,弦剑,"（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）
【出】：选择我方墓地1张《梦赴光寥之乡》，将其加入手牌。",/card-images/BP01-068.png
BP01-069,BP01-069,薇拉·瑰丽,BP01-命运交锋,SR,7,物理,8,2,,角色牌,三头犬小队 / 薇拉,"【永】：若我方战场存在<21号>角色或<诺克提>角色，该牌PP+2000。
【出】横置我方战场1张<21号>角色或<诺克提>角色：直到回合结束为止，该牌获得【速攻】。",/card-images/BP01-069.png
BP01-070,BP01-070,诺克提·擎驱,BP01-命运交锋,SR,2,雷,2,0,,角色牌,诺克提 / 三头犬小队,"【永】：若我方战场存在<薇拉>角色或<21号>角色，该牌可以无视属性条件使用。
【起】【回合1】【1费】：若我方战场的<三头犬小队>角色为3张及以上，将我方信号球区的牌按任意顺序排列。",/card-images/BP01-070.png
BP01-071,BP01-071,死神与无色,BP01-命运交锋,R,3,暗,,,,战术牌 / 瞬时战术牌,,【瞬时】：我方玩家被攻击时才能发动。若我方战场存在横置状态的<三头犬小队>角色，那次攻击不能造成伤害。,/card-images/BP01-071.png
BP01-072,BP01-072,沙利叶,BP01-命运交锋,U,3,暗,1.5,,,道具牌 / 装备牌,太刀,,/card-images/BP01-072.png
BP01-073,BP01-073,库洛姆·荣光,BP01-命运交锋,SR,7,冰,5,2,,角色牌 / 升变角色牌,库洛姆 / 突击鹰小队,"升变条件 费用6以下的<库洛姆>&「费用上限6及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【自】【回合1】：我方战场1张角色阻挡时，直到回合结束为止，其PP+1000。
【起】【回合1】消除2同色信号球：选择我方手牌1张费用不大于我方明费上限的<突击鹰小队>角色，将其出场。直到回合结束为止，其获得“【永】：不能攻击”。",/card-images/BP01-073.png
BP01-074,BP01-074,库洛姆·荣光,BP01-命运交锋,U,3,冰,4,2,,角色牌,库洛姆 / 突击鹰小队,【永】：【充能0】。,/card-images/BP01-074.png
BP01-075,BP01-075,神威·重能,BP01-命运交锋,SR,4,物理,4,2,,角色牌 / 升变角色牌,神威 / 突击鹰小队,"升变条件 费用4以下的<神威>&「费用上限4及以上」
升变代价【2费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【出】【2任意信号球】：选择对方战场1张费用为3及以下的角色，将其横置。",/card-images/BP01-075.png
BP01-076,BP01-076,卡穆·狂犬,BP01-命运交锋,U,3,暗,6,0,,角色牌,卡穆 / 突击鹰小队,"【永】：【充能0】。
【永】：若我方战场存在<突击鹰小队>角色，该牌可以无视属性条件使用。
【起】将该牌从战场放置到牌组底：选择我方墓地1张<突击鹰小队>角色，将其加入手牌。",/card-images/BP01-076.png
BP01-077,BP01-077,万事·明觉,BP01-命运交锋,U,5,冰,6,2,,角色牌,突击鹰小队 / 万事,【永】：我方每回合使用的第1张《荣光护盾》的费用变为1。,/card-images/BP01-077.png
BP01-078,BP01-078,星际中的思考,BP01-命运交锋,C,1,无,,,红,战术牌 / 普通战术牌,信号球·红,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·选择我方战场最多1张角色，直到回合结束为止，其DP+1。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-078.png
BP01-079,BP01-079,第五次交锋,BP01-命运交锋,C,1,无,,,红,战术牌 / 普通战术牌,信号球·红,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·选择我方战场最多1张角色，直到回合结束为止，其DP+1。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-079.png
BP01-080,BP01-080,无忧无虑大作战,BP01-命运交锋,C,1,无,,,红,战术牌 / 普通战术牌,信号球·红,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·选择我方战场最多1张角色，直到回合结束为止，其DP+1。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-080.png
BP01-081,BP01-081,桎梏与囚笼,BP01-命运交锋,C,1,无,,,蓝,战术牌 / 普通战术牌,信号球·蓝,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·抽1张牌。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-081.png
BP01-082,BP01-082,漫长的电话,BP01-命运交锋,C,1,无,,,蓝,战术牌 / 普通战术牌,信号球·蓝,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·抽1张牌。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-082.png
BP01-083,BP01-083,无人观看的斯丁格,BP01-命运交锋,C,1,无,,,蓝,战术牌 / 普通战术牌,信号球·蓝,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·抽1张牌。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-083.png
BP01-084,BP01-084,解开项圈,BP01-命运交锋,C,1,无,,,黄,战术牌 / 普通战术牌,信号球·黄,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·若我方侵蚀计数不小于对方，我方侵蚀计数-1。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-084.png
BP01-085,BP01-085,医鸮,BP01-命运交锋,C,1,无,,,黄,战术牌 / 普通战术牌,信号球·黄,"使用后将该牌放置到我方信号球区最上方，抽1张牌。
【充能自】：从以下2项选择1项。
·若我方侵蚀计数不小于对方，我方侵蚀计数-1。
·选择我方战场最多1张角色，直到回合结束为止，其PP+2000。",/card-images/BP01-085.png
